pods,cpu,memory,nodepool_config,first_time,region
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 09:13:28+09:00,ap-northeast-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 11:14:09+09:00,ap-northeast-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 13:14:31+09:00,ap-northeast-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 15:14:51+09:00,ap-northeast-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 17:12:13+09:00,ap-northeast-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 19:15:08+09:00,ap-northeast-1
100,1,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.24xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 09:04:40+09:00,ap-northeast-1
100,1,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 11:03:52+09:00,ap-northeast-1
100,1,2,"[{'instance_type': 'c7a.32xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 13:03:58+09:00,ap-northeast-1
100,1,2,"[{'instance_type': 'c7a.32xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 15:04:18+09:00,ap-northeast-1
100,1,2,"[{'instance_type': 'c7a.32xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 17:04:05+09:00,ap-northeast-1
100,1,2,"[{'instance_type': 'c7a.32xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 19:03:47+09:00,ap-northeast-1
100,1,4,"[{'instance_type': 'm7gd.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'r4.8xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}, {'instance_type': 'r5a.12xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 09:08:23+09:00,ap-northeast-1
100,1,4,"[{'instance_type': 'm8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 11:07:29+09:00,ap-northeast-1
100,1,4,"[{'instance_type': 'm8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 13:07:42+09:00,ap-northeast-1
100,1,4,"[{'instance_type': 'm8g.48xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}]",2025-05-22 15:08:18+09:00,ap-northeast-1
100,1,4,"[{'instance_type': 't2.large', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'x2idn.32xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}]",2025-05-22 17:08:15+09:00,ap-northeast-1
100,1,4,"[{'instance_type': 'm8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 19:07:46+09:00,ap-northeast-1
100,2,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 09:08:12+09:00,ap-northeast-1
100,2,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 11:07:30+09:00,ap-northeast-1
100,2,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 13:07:43+09:00,ap-northeast-1
100,2,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 15:08:03+09:00,ap-northeast-1
100,2,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 17:07:54+09:00,ap-northeast-1
100,2,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 19:07:46+09:00,ap-northeast-1
115,4,2,"[{'instance_type': 'c8g.24xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 09:30:36+09:00,ap-northeast-1
115,4,2,"[{'instance_type': 'c5d.18xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}, {'instance_type': 'c6g.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 2}]",2025-05-22 11:28:52+09:00,ap-northeast-1
115,4,2,"[{'instance_type': 'c8g.24xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 13:27:20+09:00,ap-northeast-1
115,4,2,"[{'instance_type': 'c8g.24xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 15:29:51+09:00,ap-northeast-1
