Time,InstanceType,Region,AZ,SPS,T3,T2,IF,OndemandPrice,SpotPrice,Savings
2025-12-13 17:20:00,c1.xlarge,ap-northeast-1,apne1-az1,3,1,1,1.0,0.632,0.1333,78
2025-12-13 17:20:00,c1.xlarge,ap-northeast-1,apne1-az4,1,0,0,1.0,0.632,0.4615,26
2025-12-13 17:20:00,c1.xlarge,ap-southeast-1,apse1-az1,1,0,0,1.0,0.655,0.2345,64
2025-12-13 17:20:00,c1.xlarge,ap-southeast-1,apse1-az2,3,1,5,1.0,0.655,0.2765,57
2025-12-13 17:20:00,c1.xlarge,ap-southeast-2,apse2-az1,3,1,1,1.0,0.655,0.2077,68
2025-12-13 17:20:00,c1.xlarge,ap-southeast-2,apse2-az3,3,1,1,1.0,0.655,0.2155,67
2025-12-13 17:20:00,c1.xlarge,eu-west-1,euw1-az1,3,5,5,1.0,0.592,0.2807,52
2025-12-13 17:20:00,c1.xlarge,eu-west-1,euw1-az2,3,1,1,1.0,0.592,0.293,50
2025-12-13 17:20:00,c1.xlarge,eu-west-1,euw1-az3,3,1,5,1.0,0.592,0.2563,56
2025-12-13 17:20:00,c1.xlarge,sa-east-1,sae1-az1,1,0,0,1.0,0.718,0.1784,75
2025-12-13 17:20:00,c1.xlarge,sa-east-1,sae1-az2,3,1,1,1.0,0.718,0.2048,71
2025-12-13 17:20:00,c1.xlarge,us-east-1,use1-az1,3,1,1,1.0,0.52,0.3502,32
2025-12-13 17:20:00,c1.xlarge,us-east-1,use1-az2,3,5,10,1.0,0.52,0.1558,70
2025-12-13 17:20:00,c1.xlarge,us-east-1,use1-az4,3,5,10,1.0,0.52,0.1602,69
2025-12-13 17:20:00,c1.xlarge,us-east-1,use1-az6,3,5,5,1.0,0.52,0.1498,71
2025-12-13 17:20:00,c1.xlarge,us-west-1,usw1-az1,2,0,1,1.0,0.592,0.1782,69
2025-12-13 17:20:00,c1.xlarge,us-west-1,usw1-az3,3,1,1,1.0,0.592,0.1166,80
2025-12-13 17:20:00,c1.xlarge,us-west-2,usw2-az1,3,1,5,1.0,0.52,0.1891,63
2025-12-13 17:20:00,c1.xlarge,us-west-2,usw2-az2,3,5,5,1.0,0.52,0.203,60
2025-12-13 17:20:00,c1.xlarge,us-west-2,usw2-az3,3,10,15,1.0,0.52,0.1831,64
2025-12-13 17:20:00,c3.2xlarge,ap-northeast-1,apne1-az1,3,30,45,3.0,0.511,0.1921,62
2025-12-13 17:20:00,c3.2xlarge,ap-northeast-1,apne1-az4,3,45,50,3.0,0.511,0.1833,64
2025-12-13 17:20:00,c3.2xlarge,ap-southeast-1,apse1-az1,3,10,15,3.0,0.529,0.2764,47
2025-12-13 17:20:00,c3.2xlarge,ap-southeast-1,apse1-az2,3,10,15,3.0,0.529,0.2792,47
2025-12-13 17:20:00,c3.2xlarge,ap-southeast-2,apse2-az1,3,1,5,1.5,0.529,0.2014,61
2025-12-13 17:20:00,c3.2xlarge,ap-southeast-2,apse2-az2,3,1,1,1.5,0.529,0.2089,60
2025-12-13 17:20:00,c3.2xlarge,ap-southeast-2,apse2-az3,3,1,5,1.5,0.529,0.2283,56
2025-12-13 17:20:00,c3.2xlarge,eu-central-1,euc1-az2,3,5,5,1.5,0.516,0.2372,54
2025-12-13 17:20:00,c3.2xlarge,eu-central-1,euc1-az3,3,5,10,1.5,0.516,0.232,55
2025-12-13 17:20:00,c3.2xlarge,eu-west-1,euw1-az1,3,15,25,3.0,0.478,0.2935,38
2025-12-13 17:20:00,c3.2xlarge,eu-west-1,euw1-az2,3,5,10,3.0,0.478,0.2938,38
2025-12-13 17:20:00,c3.2xlarge,eu-west-1,euw1-az3,3,10,20,3.0,0.478,0.259,45
2025-12-13 17:20:00,c3.2xlarge,sa-east-1,sae1-az1,3,1,5,1.0,0.65,0.2522,61
2025-12-13 17:20:00,c3.2xlarge,sa-east-1,sae1-az3,3,1,1,1.0,0.65,0.1715,73
2025-12-13 17:20:00,c3.2xlarge,us-east-1,use1-az2,3,15,25,3.0,0.42,0.1989,52
2025-12-13 17:20:00,c3.2xlarge,us-east-1,use1-az3,1,0,0,3.0,0.42,0.1626,61
2025-12-13 17:20:00,c3.2xlarge,us-east-1,use1-az4,3,40,50,3.0,0.42,0.1847,56
2025-12-13 17:20:00,c3.2xlarge,us-east-1,use1-az6,3,25,40,3.0,0.42,0.1985,52
2025-12-13 17:20:00,c3.2xlarge,us-west-1,usw1-az1,3,1,5,2.0,0.478,0.2203,53
2025-12-13 17:20:00,c3.2xlarge,us-west-1,usw1-az3,3,5,10,2.0,0.478,0.2413,49
2025-12-13 17:20:00,c3.2xlarge,us-west-2,usw2-az1,3,10,15,2.5,0.42,0.2038,51
2025-12-13 17:20:00,c3.2xlarge,us-west-2,usw2-az2,3,15,30,2.5,0.42,0.1926,54
2025-12-13 17:20:00,c3.2xlarge,us-west-2,usw2-az3,3,5,10,2.5,0.42,0.1813,56
2025-12-13 17:20:00,c3.4xlarge,ap-northeast-1,apne1-az1,3,10,20,3.0,1.021,0.4423,56
2025-12-13 17:20:00,c3.4xlarge,ap-northeast-1,apne1-az4,3,20,25,3.0,1.021,0.4443,56
2025-12-13 17:20:00,c3.4xlarge,ap-southeast-1,apse1-az1,3,1,5,1.0,1.058,0.462,56
2025-12-13 17:20:00,c3.4xlarge,ap-southeast-1,apse1-az2,3,1,1,1.0,1.058,0.4397,58
2025-12-13 17:20:00,c3.4xlarge,ap-southeast-2,apse2-az1,3,1,5,2.0,1.058,0.5094,51
2025-12-13 17:20:00,c3.4xlarge,ap-southeast-2,apse2-az2,3,1,1,2.0,1.058,0.4651,56
2025-12-13 17:20:00,c3.4xlarge,ap-southeast-2,apse2-az3,3,1,1,2.0,1.058,0.4315,59
2025-12-13 17:20:00,c3.4xlarge,eu-central-1,euc1-az2,3,1,5,1.0,1.032,0.4676,54
2025-12-13 17:20:00,c3.4xlarge,eu-central-1,euc1-az3,3,1,5,1.0,1.032,0.4603,55
2025-12-13 17:20:00,c3.4xlarge,eu-west-1,euw1-az1,3,5,10,3.0,0.956,0.4493,53
2025-12-13 17:20:00,c3.4xlarge,eu-west-1,euw1-az2,3,5,10,3.0,0.956,0.4433,53
2025-12-13 17:20:00,c3.4xlarge,eu-west-1,euw1-az3,3,5,10,3.0,0.956,0.4392,54
2025-12-13 17:20:00,c3.4xlarge,sa-east-1,sae1-az1,3,1,1,1.0,1.3,0.4309,66
2025-12-13 17:20:00,c3.4xlarge,sa-east-1,sae1-az3,3,1,1,1.0,1.3,0.3241,75
2025-12-13 17:20:00,c3.4xlarge,us-east-1,use1-az2,3,5,10,2.5,0.84,0.5766,31
2025-12-13 17:20:00,c3.4xlarge,us-east-1,use1-az2,3,5,10,2.5,0.84,0.5766,31
2025-12-13 17:20:00,c3.4xlarge,us-east-1,use1-az2,3,5,10,2.5,0.84,0.5766,31
