InstanceType,AZ,vCPU,Memory,T3,SPS,IF,SpotPrice,OndemandPrice,CoreMark
c5a.4xlarge,usw2-az4,16,32.0,10,3,2.5,0.3421,0.616,23409.6225
c5a.8xlarge,usw2-az1,32,64.0,25,3,3.0,0.6095,1.232,23409.6225
c5a.8xlarge,usw2-az2,32,64.0,25,3,3.0,0.5141,1.232,23409.6225
c5a.8xlarge,usw2-az3,32,64.0,5,3,3.0,0.496,1.232,23409.6225
c5a.8xlarge,usw2-az4,32,64.0,50,3,3.0,0.5553,1.232,23409.6225
c5a.large,usw2-az1,2,4.0,50,3,2.5,0.0316,0.077,23409.6225
c5a.large,usw2-az2,2,4.0,50,3,2.5,0.0345,0.077,23409.6225
c5a.large,usw2-az3,2,4.0,50,3,2.5,0.0319,0.077,23409.6225
c5a.large,usw2-az4,2,4.0,50,3,2.5,0.0293,0.077,23409.6225
c5a.xlarge,usw2-az1,4,8.0,50,3,3.0,0.0786,0.154,23409.6225
c5a.xlarge,usw2-az2,4,8.0,50,3,3.0,0.0784,0.154,23409.6225
c5a.xlarge,usw2-az3,4,8.0,50,3,3.0,0.0778,0.154,23409.6225
c5a.xlarge,usw2-az4,4,8.0,50,3,3.0,0.07,0.154,23409.6225
c5ad.12xlarge,usw2-az1,48,96.0,10,3,1.0,0.9151,2.064,23409.6225
c5ad.12xlarge,usw2-az2,48,96.0,20,3,1.0,0.893,2.064,23409.6225
c5ad.12xlarge,usw2-az4,48,96.0,5,3,1.0,0.9885,2.064,23409.6225
c5ad.16xlarge,usw2-az1,64,128.0,1,3,1.0,1.1628,2.752,23409.6225
c5ad.16xlarge,usw2-az2,64,128.0,5,3,1.0,1.121,2.752,23409.6225
c5ad.16xlarge,usw2-az4,64,128.0,1,3,1.0,1.2271,2.752,23409.6225
c5ad.24xlarge,usw2-az1,96,192.0,10,3,1.5,1.6772,4.128,23409.6225
c5ad.24xlarge,usw2-az2,96,192.0,10,3,1.5,1.6113,4.128,23409.6225
c5ad.24xlarge,usw2-az4,96,192.0,10,3,1.5,1.8189,4.128,23409.6225
c5ad.2xlarge,usw2-az1,8,16.0,15,3,2.5,0.1322,0.344,23409.6225
c5ad.2xlarge,usw2-az2,8,16.0,15,3,2.5,0.1352,0.344,23409.6225
c5ad.2xlarge,usw2-az4,8,16.0,5,3,2.5,0.1442,0.344,23409.6225
c5ad.4xlarge,usw2-az1,16,32.0,15,3,2.0,0.3656,0.688,23409.6225
c5ad.4xlarge,usw2-az2,16,32.0,15,3,2.0,0.327,0.688,23409.6225
c5ad.4xlarge,usw2-az4,16,32.0,1,3,2.0,0.2896,0.688,23409.6225
c5ad.8xlarge,usw2-az1,32,64.0,1,3,1.5,0.5656,1.376,23409.6225
c5ad.8xlarge,usw2-az2,32,64.0,5,3,1.5,0.523,1.376,23409.6225
c5ad.8xlarge,usw2-az4,32,64.0,1,3,1.5,0.4928,1.376,23409.6225
c5ad.large,usw2-az1,2,4.0,30,3,2.5,0.0327,0.086,23409.6225
c5ad.large,usw2-az2,2,4.0,40,3,2.5,0.0355,0.086,23409.6225
c5ad.large,usw2-az4,2,4.0,25,3,2.5,0.0217,0.086,23409.6225
c5ad.xlarge,usw2-az1,4,8.0,15,3,2.5,0.075,0.172,23409.6225
c5ad.xlarge,usw2-az2,4,8.0,20,3,2.5,0.0807,0.172,23409.6225
c5ad.xlarge,usw2-az4,4,8.0,15,3,2.5,0.0553,0.172,23409.6225
c5d.12xlarge,usw2-az1,48,96.0,5,3,1.0,0.8282,2.304,24562.482727272727
c5d.12xlarge,usw2-az2,48,96.0,15,3,1.0,0.7999,2.304,24562.482727272727
c5d.12xlarge,usw2-az3,48,96.0,10,3,1.0,0.8012,2.304,24562.482727272727
c5d.12xlarge,usw2-az4,48,96.0,1,3,1.0,0.5493,2.304,24562.482727272727
c5d.18xlarge,usw2-az1,72,144.0,50,3,3.0,1.316,3.456,24562.482727272727
c5d.18xlarge,usw2-az2,72,144.0,50,3,3.0,1.3876,3.456,24562.482727272727
c5d.18xlarge,usw2-az3,72,144.0,50,3,3.0,1.4343,3.456,24562.482727272727
c5d.18xlarge,usw2-az4,72,144.0,50,3,3.0,1.1773,3.456,24562.482727272727
c5d.24xlarge,usw2-az1,96,192.0,15,3,2.0,1.5343,4.608,24562.482727272727
c5d.24xlarge,usw2-az2,96,192.0,15,3,2.0,1.4188,4.608,24562.482727272727
c5d.24xlarge,usw2-az3,96,192.0,45,3,2.0,1.6743,4.608,24562.482727272727
c5d.24xlarge,usw2-az4,96,192.0,15,3,2.0,1.6909,4.608,24562.482727272727
c5d.2xlarge,usw2-az1,8,16.0,50,3,3.0,0.1866,0.384,24562.482727272727
c5d.2xlarge,usw2-az2,8,16.0,50,3,3.0,0.1921,0.384,24562.482727272727
c5d.2xlarge,usw2-az3,8,16.0,50,3,3.0,0.1935,0.384,24562.482727272727
c5d.2xlarge,usw2-az4,8,16.0,50,3,3.0,0.1739,0.384,24562.482727272727
c5d.4xlarge,usw2-az1,16,32.0,50,3,3.0,0.4386,0.768,24562.482727272727
c5d.4xlarge,usw2-az2,16,32.0,50,3,3.0,0.4263,0.768,24562.482727272727
c5d.4xlarge,usw2-az3,16,32.0,50,3,3.0,0.4394,0.768,24562.482727272727
c5d.4xlarge,usw2-az4,16,32.0,25,3,3.0,0.359,0.768,24562.482727272727
c5d.9xlarge,usw2-az1,36,72.0,50,3,3.0,0.7913,1.728,24562.482727272727
c5d.9xlarge,usw2-az2,36,72.0,50,3,3.0,0.7681,1.728,24562.482727272727
c5d.9xlarge,usw2-az3,36,72.0,50,3,3.0,0.7461,1.728,24562.482727272727
c5d.9xlarge,usw2-az4,36,72.0,30,3,3.0,0.6939,1.728,24562.482727272727
c5d.large,usw2-az1,2,4.0,50,3,3.0,0.0476,0.096,24562.482727272727
c5d.large,usw2-az2,2,4.0,50,3,3.0,0.0441,0.096,24562.482727272727
c5d.large,usw2-az3,2,4.0,50,3,3.0,0.0437,0.096,24562.482727272727
c5d.large,usw2-az4,2,4.0,50,3,3.0,0.0292,0.096,24562.482727272727
c5d.xlarge,usw2-az1,4,8.0,50,3,3.0,0.0909,0.192,24562.482727272727
c5d.xlarge,usw2-az2,4,8.0,50,3,3.0,0.0857,0.192,24562.482727272727
c5d.xlarge,usw2-az3,4,8.0,50,3,3.0,0.0875,0.192,24562.482727272727
c5d.xlarge,usw2-az4,4,8.0,50,3,3.0,0.059,0.192,24562.482727272727
c5n.18xlarge,usw2-az1,72,192.0,5,3,1.0,1.2244,3.888,24562.482727272727
c5n.18xlarge,usw2-az2,72,192.0,10,3,1.0,1.2577,3.888,24562.482727272727
c5n.18xlarge,usw2-az3,72,192.0,10,3,1.0,1.1662,3.888,24562.482727272727
c5n.18xlarge,usw2-az4,72,192.0,0,1,1.0,2.9596,3.888,24562.482727272727
c5n.2xlarge,usw2-az1,8,21.0,25,3,1.5,0.2332,0.432,24562.482727272727
c5n.2xlarge,usw2-az2,8,21.0,1,3,1.5,0.2564,0.432,24562.482727272727
c5n.2xlarge,usw2-az3,8,21.0,5,3,1.5,0.255,0.432,24562.482727272727
c5n.2xlarge,usw2-az4,8,21.0,0,1,1.5,0.2655,0.432,24562.482727272727
c5n.4xlarge,usw2-az1,16,42.0,5,3,1.0,0.3759,0.864,24562.482727272727
c5n.4xlarge,usw2-az2,16,42.0,1,3,1.0,0.3847,0.864,24562.482727272727
c5n.4xlarge,usw2-az3,16,42.0,5,3,1.0,0.3877,0.864,24562.482727272727
c5n.4xlarge,usw2-az4,16,42.0,0,1,1.0,0.2217,0.864,24562.482727272727
c5n.9xlarge,usw2-az1,36,96.0,10,3,1.0,0.7074,1.944,24562.482727272727
c5n.9xlarge,usw2-az2,36,96.0,10,3,1.0,0.6735,1.944,24562.482727272727
c5n.9xlarge,usw2-az3,36,96.0,10,3,1.0,0.6719,1.944,24562.482727272727
c5n.9xlarge,usw2-az4,36,96.0,0,1,1.0,0.5748,1.944,24562.482727272727
c5n.large,usw2-az1,2,5.25,15,3,1.0,0.0404,0.108,24562.482727272727
c5n.large,usw2-az2,2,5.25,10,3,1.0,0.039,0.108,24562.482727272727
c5n.large,usw2-az3,2,5.25,5,3,1.0,0.0369,0.108,24562.482727272727
c5n.large,usw2-az4,2,5.25,0,1,1.0,0.033,0.108,24562.482727272727
c5n.xlarge,usw2-az1,4,10.5,10,3,1.0,0.0913,0.216,24562.482727272727
c5n.xlarge,usw2-az2,4,10.5,45,3,1.0,0.0738,0.216,24562.482727272727
c5n.xlarge,usw2-az3,4,10.5,1,3,1.0,0.1013,0.216,24562.482727272727
c5n.xlarge,usw2-az4,4,10.5,0,1,1.0,0.0566,0.216,24562.482727272727
c6a.12xlarge,usw2-az1,48,96.0,30,3,1.0,0.7469,1.836,30360.9206
c6a.12xlarge,usw2-az2,48,96.0,35,3,1.0,0.8091,1.836,30360.9206
c6a.12xlarge,usw2-az3,48,96.0,20,3,1.0,0.6807,1.836,30360.9206
c6a.12xlarge,usw2-az4,48,96.0,5,3,1.0,0.5857,1.836,30360.9206
c6a.16xlarge,usw2-az1,64,128.0,10,3,2.5,0.9319,2.448,30360.9206
c6a.16xlarge,usw2-az2,64,128.0,15,3,2.5,0.9566,2.448,30360.9206
c6a.16xlarge,usw2-az3,64,128.0,10,3,2.5,0.9385,2.448,30360.9206
c6a.16xlarge,usw2-az4,64,128.0,1,3,2.5,0.9778,2.448,30360.9206
c6a.24xlarge,usw2-az1,96,192.0,15,3,1.0,1.437,3.672,30360.9206
c6a.24xlarge,usw2-az2,96,192.0,25,3,1.0,1.3377,3.672,30360.9206
c6a.24xlarge,usw2-az3,96,192.0,15,3,1.0,1.3924,3.672,30360.9206
c6a.24xlarge,usw2-az4,96,192.0,1,3,1.0,1.7605,3.672,30360.9206
c6a.2xlarge,usw2-az1,8,16.0,50,3,1.5,0.1295,0.306,30360.9206
c6a.2xlarge,usw2-az2,8,16.0,50,3,1.5,0.1306,0.306,30360.9206
c6a.2xlarge,usw2-az3,8,16.0,50,3,1.5,0.1231,0.306,30360.9206
