run,pods,cpu,mem,alpha,cost,performance,actual_pods
result_110321,100,2,2,1.0,27552.43399999995,17457576632,671440
result_110321,10,1,2,1.0,27630.628299999953,35019187991,1347273
result_110321,10,1,4,1.0,27584.45729999996,29752470571,1145833
result_110321,10,2,2,1.0,27552.43399999995,17457576632,671440
result_110321,115,4,2,1.0,27010.215999999968,8574267668,329509
result_110321,17,7,7,1.0,25749.229399999957,4406381836,168588
result_110321,287,1,6,1.0,27478.310699999936,23917215100,920687
result_110321,400,1,2,1.0,27630.628299999953,35019187991,1347273
result_110321,400,1,4,1.0,27584.45729999996,29752470571,1145833
result_110321,400,2,2,1.0,27552.43399999995,17457576632,671440
result_110321,439,1,9,1.0,27056.48859999995,18381367659,706241
result_110321,50,1,2,1.0,27630.628299999953,35019187991,1347273
result_110321,50,1,4,1.0,27584.45729999996,29752470571,1145833
result_110321,50,2,2,1.0,27552.43399999995,17457576632,671440
result_110321,75,3,5,1.0,27010.215999999968,10954172019,420066
result_110403,1000,1,2,1.0,29213.961300000017,37733190553,1421517
result_110403,1000,1,4,1.0,29165.63760000002,30753192179,1160322
result_110403,1000,2,2,1.0,29133.099400000006,18816703250,708654
result_110403,100,1,2,1.0,29213.961300000017,37733190553,1421517
result_110403,100,1,4,1.0,29165.63760000002,30753192179,1160322
result_110403,100,2,2,1.0,29133.099400000006,18816703250,708654
result_110403,10,1,2,1.0,29213.961300000017,37733190553,1421517
result_110403,10,1,4,1.0,29165.63760000002,30753192179,1160322
result_110403,10,2,2,1.0,29133.099400000006,18816703250,708654
result_110403,115,4,2,1.0,28550.16930000001,9240503105,347606
result_110403,17,7,7,1.0,27164.528100000014,4744621821,177614
result_110403,287,1,6,1.0,29041.321500000013,23821765170,898710
result_110403,400,1,2,1.0,29213.961300000017,37733190553,1421517
result_110403,400,1,4,1.0,29165.63760000002,30753192179,1160322
result_110403,400,2,2,1.0,29133.099400000006,18816703250,708654
result_110403,439,1,9,1.0,28538.868400000014,17828088758,671316
result_110403,50,1,2,1.0,29213.961300000017,37733190553,1421517
result_110403,50,1,4,1.0,29165.63760000002,30753192179,1160322
result_110403,50,2,2,1.0,29133.099400000006,18816703250,708654
result_110403,75,3,5,1.0,28550.16930000001,11803307157,442942
result_110409,1000,1,2,1.0,29491.518800000027,39329348938,1472457
result_110409,1000,1,4,1.0,29441.955400000028,32124257945,1203140
result_110409,1000,2,2,1.0,29410.335400000025,19613391223,734072
result_110409,100,1,2,1.0,29491.518800000027,39329348938,1472457
result_110409,100,1,4,1.0,29441.955400000028,32124257945,1203140
result_110409,100,2,2,1.0,29410.335400000025,19613391223,734072
result_110409,10,1,2,1.0,29491.518800000027,39329348938,1472457
result_110409,10,1,4,1.0,29441.955400000028,32124257945,1203140
result_110409,10,2,2,1.0,29410.335400000025,19613391223,734072
result_110409,115,4,2,1.0,28840.015500000038,9641518719,360439
result_110409,17,7,7,1.0,27497.02100000005,4971574460,184965
result_110409,287,1,6,1.0,29317.428200000042,24681885352,924042
result_110409,400,1,2,1.0,29491.518800000027,39329348938,1472457
result_110409,400,1,4,1.0,29441.955400000028,32124257945,1203140
result_110409,400,2,2,1.0,29410.335400000025,19613391223,734072
result_110409,439,1,9,1.0,28809.96320000004,18392770341,687177
result_110409,50,1,2,1.0,29491.518800000027,39329348938,1472457
result_110409,50,1,4,1.0,29441.955400000028,32124257945,1203140
result_110409,50,2,2,1.0,29410.335400000025,19613391223,734072
result_110409,75,3,5,1.0,28840.015500000038,12349324766,460609
result_110415,1000,1,2,1.0,25824.33240000005,32822077001,1255060
result_110415,1000,1,4,1.0,25781.680800000056,28205350533,1078454
result_110415,1000,2,2,1.0,25751.840700000055,16361887292,625460
result_110415,100,1,2,1.0,25824.33240000005,32822077001,1255060
result_110415,100,1,4,1.0,25781.680800000056,28205350533,1078454
result_110415,100,2,2,1.0,25751.840700000055,16361887292,625460
result_110415,10,1,2,1.0,25824.33240000005,32822077001,1255060
result_110415,10,1,4,1.0,25781.680800000056,28205350533,1078454
result_110415,10,2,2,1.0,25751.840700000055,16361887292,625460
result_110415,115,4,2,1.0,25253.549300000042,8039826686,307032
result_110415,17,7,7,1.0,24061.42190000005,4139888963,157342
result_110415,287,1,6,1.0,25692.62160000006,22937248008,877774
result_110415,400,1,2,1.0,25824.33240000005,32822077001,1255060
result_110415,400,1,4,1.0,25781.680800000056,28205350533,1078454
result_110415,400,2,2,1.0,25751.840700000055,16361887292,625460
result_110415,439,1,9,1.0,25301.43770000005,17773085267,679397
result_110415,50,1,2,1.0,25824.33240000005,32822077001,1255060
result_110415,50,1,4,1.0,25781.680800000056,28205350533,1078454
result_110415,50,2,2,1.0,25751.840700000055,16361887292,625460
result_110415,75,3,5,1.0,25253.549300000042,10282931149,391706
result_110421,1000,1,2,1.0,26272.6543,33286712957,1281480
result_110421,1000,1,4,1.0,26226.884100000003,28292021255,1090056
result_110421,1000,2,2,1.0,26195.85230000001,16591824305,638560
result_110421,100,1,2,1.0,26272.6543,33286712957,1281480
result_110421,100,1,4,1.0,26226.884100000003,28292021255,1090056
result_110421,100,2,2,1.0,26195.85230000001,16591824305,638560
result_110421,10,1,2,1.0,26272.6543,33286712957,1281480
result_110421,10,1,4,1.0,26226.884100000003,28292021255,1090056
result_110421,10,2,2,1.0,26195.85230000001,16591824305,638560
result_110421,115,4,2,1.0,25671.50040000001,8146454899,313268
result_110421,17,7,7,1.0,24455.17430000001,4185301182,160222
result_110421,287,1,6,1.0,26124.2422,22826687563,879101
