BaseScenario,ExpID,Region,Parallelism,PodCPU,PodMem,Cost_KubePACS,Cost_Baseline,CostReduction%,Perf_KubePACS,Perf_Baseline,PerformanceGain%,Nodes_KubePACS,Nodes_Baseline,T3Ratio_KubePACS,T3Ratio_Baseline,LoadCategory
t136682229806784-p10-c2-m2,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,10,2,2,0.13040000000000002,0.501,73.97205588822355,196786.34999999998,608564.5425,-67.66384890062832,4,1,0.0,0.0,Low
t136682229806784-p100-c1-m4,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,100,1,4,0.7041,4.359,83.84721266345491,2391466.9008,5955010.329600001,-59.8410956751332,6,1,0.0,0.0,Medium
t136682229806784-p17-c7-m7,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,17,7,7,0.7752,2.0507999999999997,62.20011702750147,407667.53306250006,420739.69920454547,-3.1069485876326306,2,2,0.0,0.0,Low
t136682229806784-p287-c1-m6,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,287,1,6,2.1344,9.2863,77.01560363115559,7160711.2360000005,8716587.919466667,-17.849606954482073,5,7,0.0,0.0,Medium
t136682229806784-p400-c1-m2,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,400,1,2,2.9931,4.4466,32.687896370260425,13246454.636467531,16317577.6578,-18.82094932065137,17,3,0.0,0.0,Medium
t136682229806784-p400-c1-m4,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,400,1,4,3.0459,11.8964,74.3964560707441,13393690.861381818,10154346.563335713,31.901061066227555,17,85,0.0,0.0,Medium
t136682229806784-p400-c2-m2,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,400,2,2,5.2502,13.9268,62.30146192951719,10542205.837090908,6446635.359595726,63.53035729559269,46,70,0.0,0.0,Medium
t136682229806784-p439-c1-m9,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,439,1,9,3.8072,13.645199999999999,72.0986134318295,11432187.648,11752265.259186324,-2.7235397102369734,8,19,0.0,0.0,Medium
t136682229806784-p50-c1-m2,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,50,1,2,0.287,0.6931,58.591833790217876,988118.8702857143,1259432.64,-21.54253916384807,8,1,0.0,0.0,Low
t136682229806784-p50-c1-m4,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,50,1,4,0.4357,0.8519,48.85549947176899,1639536.4840000002,1639536.4840000002,0.0,1,1,0.0,0.0,Low
t136682229806784-p50-c2-m2,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,50,2,2,0.5615,1.6674,66.32481708048459,983931.75,2955355.0608,-66.70681763247579,7,1,0.0,0.0,Low
t136682229806784-p75-c3-m5,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,75,3,5,1.4952999999999999,4.0893,63.43383953243832,1765840.0765,1849473.8932121212,-4.52203283426013,6,3,0.0,0.0,Medium
