InstanceType,AZ,vCPU,Memory,T3,SPS,IF,SpotPrice,OndemandPrice,CoreMark
c5ad.4xlarge,use1-az6,16,32.0,10,3,1.5,0.2628,0.688,23409.6225
c5ad.8xlarge,use1-az1,32,64.0,1,3,2.0,0.6475,1.376,23409.6225
c5ad.8xlarge,use1-az2,32,64.0,15,3,2.0,0.4415,1.376,23409.6225
c5ad.8xlarge,use1-az4,32,64.0,10,3,2.0,0.5247,1.376,23409.6225
c5ad.8xlarge,use1-az5,32,64.0,1,3,2.0,0.5656,1.376,23409.6225
c5ad.8xlarge,use1-az6,32,64.0,1,3,2.0,0.4455,1.376,23409.6225
c5ad.large,use1-az1,2,4.0,30,3,2.0,0.0385,0.086,23409.6225
c5ad.large,use1-az2,2,4.0,45,3,2.0,0.0361,0.086,23409.6225
c5ad.large,use1-az4,2,4.0,50,3,2.0,0.0348,0.086,23409.6225
c5ad.large,use1-az5,2,4.0,20,3,2.0,0.0336,0.086,23409.6225
c5ad.large,use1-az6,2,4.0,30,3,2.0,0.0386,0.086,23409.6225
c5ad.xlarge,use1-az1,4,8.0,15,3,2.0,0.0821,0.172,23409.6225
c5ad.xlarge,use1-az2,4,8.0,10,3,2.0,0.0766,0.172,23409.6225
c5ad.xlarge,use1-az4,4,8.0,30,3,2.0,0.065,0.172,23409.6225
c5ad.xlarge,use1-az5,4,8.0,15,3,2.0,0.0642,0.172,23409.6225
c5ad.xlarge,use1-az6,4,8.0,15,3,2.0,0.0802,0.172,23409.6225
c5d.12xlarge,use1-az2,48,96.0,45,3,1.0,0.8046,2.304,24562.482727272727
c5d.12xlarge,use1-az4,48,96.0,50,3,1.0,0.7617,2.304,24562.482727272727
c5d.12xlarge,use1-az6,48,96.0,50,3,1.0,0.6671,2.304,24562.482727272727
c5d.18xlarge,use1-az1,72,144.0,0,1,2.0,1.0157,3.456,24562.482727272727
c5d.18xlarge,use1-az2,72,144.0,50,3,2.0,1.144,3.456,24562.482727272727
c5d.18xlarge,use1-az4,72,144.0,50,3,2.0,1.2167,3.456,24562.482727272727
c5d.18xlarge,use1-az5,72,144.0,10,3,2.0,0.9675,3.456,24562.482727272727
c5d.18xlarge,use1-az6,72,144.0,50,3,2.0,1.0147,3.456,24562.482727272727
c5d.24xlarge,use1-az2,96,192.0,45,3,1.0,1.4407,4.608,24562.482727272727
c5d.24xlarge,use1-az4,96,192.0,50,3,1.0,1.4299,4.608,24562.482727272727
c5d.24xlarge,use1-az6,96,192.0,30,3,1.0,1.2825,4.608,24562.482727272727
c5d.2xlarge,use1-az1,8,16.0,50,3,2.5,0.1727,0.384,24562.482727272727
c5d.2xlarge,use1-az2,8,16.0,50,3,2.5,0.163,0.384,24562.482727272727
c5d.2xlarge,use1-az4,8,16.0,50,3,2.5,0.1453,0.384,24562.482727272727
c5d.2xlarge,use1-az5,8,16.0,50,3,2.5,0.1554,0.384,24562.482727272727
c5d.2xlarge,use1-az6,8,16.0,50,3,2.5,0.1479,0.384,24562.482727272727
c5d.4xlarge,use1-az1,16,32.0,50,3,2.5,0.383,0.768,24562.482727272727
c5d.4xlarge,use1-az2,16,32.0,50,3,2.5,0.3592,0.768,24562.482727272727
c5d.4xlarge,use1-az4,16,32.0,50,3,2.5,0.3672,0.768,24562.482727272727
c5d.4xlarge,use1-az5,16,32.0,35,3,2.5,0.3563,0.768,24562.482727272727
c5d.4xlarge,use1-az6,16,32.0,50,3,2.5,0.3397,0.768,24562.482727272727
c5d.9xlarge,use1-az1,36,72.0,40,3,2.5,0.7322,1.728,24562.482727272727
c5d.9xlarge,use1-az2,36,72.0,50,3,2.5,0.6673,1.728,24562.482727272727
c5d.9xlarge,use1-az4,36,72.0,50,3,2.5,0.7199,1.728,24562.482727272727
c5d.9xlarge,use1-az5,36,72.0,50,3,2.5,0.6083,1.728,24562.482727272727
c5d.9xlarge,use1-az6,36,72.0,50,3,2.5,0.6052,1.728,24562.482727272727
c5d.large,use1-az1,2,4.0,50,3,2.5,0.0425,0.096,24562.482727272727
c5d.large,use1-az2,2,4.0,50,3,2.5,0.035,0.096,24562.482727272727
c5d.large,use1-az4,2,4.0,50,3,2.5,0.0322,0.096,24562.482727272727
c5d.large,use1-az5,2,4.0,50,3,2.5,0.0315,0.096,24562.482727272727
c5d.large,use1-az6,2,4.0,50,3,2.5,0.0332,0.096,24562.482727272727
c5d.xlarge,use1-az1,4,8.0,50,3,2.5,0.0796,0.192,24562.482727272727
c5d.xlarge,use1-az2,4,8.0,50,3,2.5,0.0749,0.192,24562.482727272727
c5d.xlarge,use1-az4,4,8.0,50,3,2.5,0.0678,0.192,24562.482727272727
c5d.xlarge,use1-az5,4,8.0,50,3,2.5,0.0634,0.192,24562.482727272727
c5d.xlarge,use1-az6,4,8.0,50,3,2.5,0.0685,0.192,24562.482727272727
c5n.18xlarge,use1-az1,72,192.0,20,3,2.5,1.6604,3.888,24562.482727272727
c5n.18xlarge,use1-az2,72,192.0,10,3,2.5,1.5471,3.888,24562.482727272727
c5n.18xlarge,use1-az4,72,192.0,15,3,2.5,1.4967,3.888,24562.482727272727
c5n.18xlarge,use1-az5,72,192.0,35,3,2.5,1.3712,3.888,24562.482727272727
c5n.18xlarge,use1-az6,72,192.0,30,3,2.5,1.429,3.888,24562.482727272727
c5n.2xlarge,use1-az1,8,21.0,40,3,1.5,0.208,0.432,24562.482727272727
c5n.2xlarge,use1-az2,8,21.0,15,3,1.5,0.2061,0.432,24562.482727272727
c5n.2xlarge,use1-az4,8,21.0,35,3,1.5,0.2,0.432,24562.482727272727
c5n.2xlarge,use1-az5,8,21.0,15,3,1.5,0.1775,0.432,24562.482727272727
c5n.2xlarge,use1-az6,8,21.0,40,3,1.5,0.182,0.432,24562.482727272727
c5n.4xlarge,use1-az1,16,42.0,25,3,1.0,0.4784,0.864,24562.482727272727
c5n.4xlarge,use1-az2,16,42.0,10,3,1.0,0.4603,0.864,24562.482727272727
